sku,width,height,depth,keyword,match_confidence,notes,supplier_sources
 AI,,,,,45%,"found in LOVE_MILESTONE, no parseable dims",LOVE_MILESTONE
 B,48,10,0.875,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
 W,36,22,0.25,WALL,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
0930,9,30,12,WALL,80%,"batch-pattern: pattern: numeric dims, likely wall",CABINET_STONE
1019SH-1,,,,CORBEL,80%,human-confirmed: corbel,DL
12 DRAWER SLIDES,,,,DRAWER_SLIDES,80%,pattern-matched: drawer slides (accessory),
"12"" DRAWER SLIDES",,,,DRAWER_SLIDES,80%,"DL prefix stripped, product pattern matched: DRAWER_SLIDES",DL
12CR-52,,,,,45%,"found in DL, no parseable dims",DL
12IN DRAWER SLIDES,,,,DRAWER_SLIDES,80%,pattern-matched: drawer slides (accessory),
1319SH-1,,,,CORBEL,80%,human-confirmed: corbel,DL
15 DRAWER SLIDES,,,,DRAWER_SLIDES,80%,pattern-matched: drawer slides (accessory),
"15"" DRAWER SLIDES",,,,DRAWER_SLIDES,80%,"DL prefix stripped, product pattern matched: DRAWER_SLIDES",DL
1527DM-2,,,,TRASH_CAN_INSERT,80%,human-confirmed: trash can insert,DL
15IN DRAWER SLIDES,,,,DRAWER_SLIDES,80%,pattern-matched: drawer slides (accessory),
18 DRAWER SLIDES,,,,DRAWER_SLIDES,80%,pattern-matched: drawer slides (accessory),
"18"" DRAWER SLIDES",,,,DRAWER_SLIDES,80%,"DL prefix stripped, product pattern matched: DRAWER_SLIDES",DL
1835DM-2,,,,TRASH_CAN_INSERT,80%,human-confirmed: trash can insert,DL
18IN DRAWER SLIDES,,,,DRAWER_SLIDES,80%,pattern-matched: drawer slides (accessory),
2 BOX,18,34.5,24,DRAWER_BASE,80%,"human-confirmed: BOX (cabinet box only), inherits DRAWER_BASE",
21 DRAWER SLIDES,,,,DRAWER_SLIDES,80%,pattern-matched: drawer slides (accessory),
"21"" DRAWER SLIDES",,,,DRAWER_SLIDES,80%,"DL prefix stripped, product pattern matched: DRAWER_SLIDES",DL
"21"" DRAWER SLIDES (SIDE MOUNT)",,,,DRAWER_SLIDES,80%,"DL prefix stripped, product pattern matched: DRAWER_SLIDES",DL
2135DM-2,,,,TRASH_CAN_INSERT,80%,human-confirmed: trash can insert,DL
21IN DRAWER SLIDES,,,,DRAWER_SLIDES,80%,pattern-matched: drawer slides (accessory),
2DB24,24,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
2DB27,27,34.5,24,BASE,50%,"canonical keyword, no supplier confirmation",
2DB30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
2DB33,33,34.5,24,BASE,50%,"canonical keyword, no supplier confirmation",
2DB36,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3 BOX,36,34.5,24,DRAWER_BASE,80%,"human-confirmed: BOX (cabinet box only), inherits DRAWER_BASE",
301512WR,30,15,12,WINE_RACK,50%,"canonical keyword, no supplier confirmation",
3015WR,30,15,12,WINE_RACK,50%,"canonical keyword, no supplier confirmation",
302412WR,30,24,12,WINE_RACK,50%,"canonical keyword, no supplier confirmation",
3024WR,30,24,12,WINE_RACK,50%,"canonical keyword, no supplier confirmation",
30DD,9.5,28,0.75,PANEL,50%,"canonical keyword, no supplier confirmation",
30GR,30,7,12,RANGE_HOOD,80%,batch-pattern: pattern: ##GR range hood grille,
30WR,,,,WINE_RACK,80%,batch-pattern: pattern: ##WR wine rack,
361212WR,36,12,12,WINE_RACK,50%,"canonical keyword, no supplier confirmation",
3612WR,36,12,12,WINE_RACK,50%,"canonical keyword, no supplier confirmation",
361812WR,36,18,12,WINE_RACK,50%,"canonical keyword, no supplier confirmation",
3618WR,36,18,12,WINE_RACK,50%,"canonical keyword, no supplier confirmation",
362412WR,36,24,12,WALL_WINE_RACK,50%,"canonical keyword, no supplier confirmation",
3624WR,36,24,12,WINE_RACK,50%,"canonical keyword, no supplier confirmation",
36DD,11,34.9375,0.75,PANEL,50%,"canonical keyword, no supplier confirmation",
36GR,36,7,12,RANGE_HOOD,80%,batch-pattern: pattern: ##GR range hood grille,
3DB12,12,34.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3DB15,15,34.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3DB18,18,34.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3DB21,21,34.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3DB24,24,34.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3DB27,27,34.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3DB30,30,34.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3DB33,33,34.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3DB36,36,34.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3DW18,,,,WALL,50%,"canonical keyword, no supplier confirmation",
3DW24,,,,WALL,50%,"canonical keyword, no supplier confirmation",
3VDB12,12,34.5,21,VANITY_DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3VDB15,15,34.5,21,VANITY_DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3VDB18,18,34.5,21,VANITY_DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3VDB21,21,34.5,21,VANITY_DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
3VDB24,24,34.5,21,VANITY_DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
42-WALL SKIN,12,42,,WALL,50%,"canonical keyword, no supplier confirmation",
6,60,34.5,21,VANITY,85%,1 supplier confirms W+H+D+keyword,DL
9,33,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
9 DRAWER SLIDES,,,,DRAWER_SLIDES,80%,pattern-matched: drawer slides (accessory),
"9"" DRAWER SLIDES",,,,DRAWER_SLIDES,80%,"DL prefix stripped, product pattern matched: DRAWER_SLIDES",DL
9IN DRAWER SLIDES,,,,DRAWER_SLIDES,80%,pattern-matched: drawer slides (accessory),
ACM,,,0.625,CROWN,80%,pattern-matched: ACM* → CROWN,
ACM2.5,,,0.625,CROWN,80%,pattern-matched: ACM* → CROWN,
ACM8,96,2.5,2.5,CROWN,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-3DB12,12,32.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-3DB15,15,32.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-3DB18,18,32.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-3DB21,21,32.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-3DB24,24,32.5,24,DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-3VDB12,12,32.5,21,VANITY_DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-3VDB15,15,32.5,21,VANITY_DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-3VDB18,18,32.5,21,VANITY_DRAWER_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-B12,12,32.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-B15,15,32.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-B18,18,32.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-B21,21,32.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-B24,24,32.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-B27,27,32.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-B30,30,32.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-B33,33,32.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-B36,36,32.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-BT09,09,32.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-SB33R,33,32.5,24,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-SB36R,36,32.5,24,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-VS24,24,32.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-VS27,27,32.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-VS30,30,32.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-VS33,33,32.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-VS33R,33,32.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-VS36,36,32.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-VS36R,36,32.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-VSD42,42,32.5,21,VANITY,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ADA-VSD48,48,32.5,21,VANITY,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ALRM8,96,,2,MOLDING,55%,W only confirmed,LOVE_MILESTONE
